customers,avg_us,min_us,max_us,throughput
1,82007,390,84858,12.1938
2,82002,1105,86019,24.389
4,81986,413,86120,48.784
8,81967,326,84138,97.5806
16,81997,308,87418,195.005
32,82041,299,87193,389.733
64,81684,369,85958,781.657
128,81361,290,85925,1565.17
256,80526,257,85306,3142.84
