customers,avg_us,min_us,max_us,throughput
1,82005,427,84917,12.1941
2,82004,343,86943,24.3882
4,81982,629,84999,48.7894
8,81957,489,84991,97.604
16,81905,357,84044,195.301
32,81807,448,84261,390.883
64,81675,320,85063,781.845
128,81335,343,88073,1565.01
256,80517,367,88135,3137.62
