customers,avg_us,min_us,max_us,throughput
1,82004,493,85049,12.1942
2,81999,450,86884,24.3897
4,81996,393,86903,48.7798
8,81964,354,85000,97.5936
16,81933,330,86883,195.244
32,81968,365,88402,389.972
64,81815,319,88853,780.578
128,81689,385,90034,1557.8
256,81642,787,99706,3087.63
